geocode,etiqueta,granularidad,longitud,latitud
756,Suiza,PAISES,8.2295,46.8004
760,República Árabe Siria,PAISES,38.5105,35.0125
762,Tayikistán,PAISES,69.3247,38.3866
764,Tailandia,PAISES,101.0203,15.1309
768,Togo,PAISES,0.9786,8.5309
772,Tokelau,PAISES,-171.8539,-9.193
776,Tonga,PAISES,-174.8472,-19.859
780,Trinidad y Tobago,PAISES,-61.2966,10.4231
784,Los Emiratos Árabes Unidos,PAISES,53.9858,23.4322
788,Túnez,PAISES,9.5708,34.1107
792,Turquía,PAISES,35.434,38.9886
795,Turkmenistán,PAISES,59.3887,39.1129
796,Las Islas Turcas y Caicos,PAISES,-71.8562,21.7501
798,Tuvalu,PAISES,178.6907,-7.477
800,Uganda,PAISES,32.391,1.2796
804,Ucrania,PAISES,31.4039,49.0041
807,La ex República Yugoslava de Macedonia,PAISES,21.7009,41.6005
818,Egipto,PAISES,29.7744,26.5758
826,Reino Unido,PAISES,-2.2326,53.2738
831,Guernsey,PAISES,-2.587,49.4616
832,Jersey,PAISES,-2.1411,49.2292
833,Isla de Man,PAISES,-4.5378,54.2287
834,República Unida de Tanzania,PAISES,34.8,-6.2638
840,Los Estados Unidos de América,PAISES,-99.4478,39.4041
850,Islas Vírgenes de los Estados Unidos,PAISES,-64.7363,17.7405
854,Burkina Faso,PAISES,-1.7464,12.2744
858,Uruguay,PAISES,-56.0126,-32.8015
860,Uzbekistán,PAISES,63.2698,41.6777
862,República Bolivariana de Venezuela,PAISES,-66.1578,7.1202
876,Wallis y Futuna,PAISES,-177.1944,-13.8292
882,Samoa,PAISES,-172.4824,-13.627
887,Yemen,PAISES,45.2235,15.2225
894,Zambia,PAISES,27.8525,-14.5969
